year,DonorCode,donornamee,col,colname,Row,rowname,RecipientCode,RecipientNameE,regionid,Regionnname,incomegrid,incomegrname,Amount,Defl,NatCur,src,share,odaGNI,currencyname
2019,701,Japan,201,"Grants, Total",,,614,Kyrgyzstan,10009,SouthCentralAsia,10018,LMICs,27.35003524,26.85156257,,dac2a,,,
2019,820,New Zealand,201,"Grants, Total",,,1031,"Caribbean, regional",10005,CaribbeanCentralAmerica,10024,UnallocatedIncome,1.637328966,1.684185048,,dac2a,,,
2019,918,EU Institutions,201,"Grants, Total",,,255,Mali,10003,SouthSahara,10016,LDCs,207.3687563,215.2212812,,dac2a,,,
2019,918,EU Institutions,201,"Grants, Total",,,347,Guatemala,10005,CaribbeanCentralAmerica,10018,LMICs,43.10280981,44.73500308,,dac2a,,,
2018,801,Australia,201,"Grants, Total",,,543,Iraq,10011,MiddleEast,10019,UMICs,22.61865269,22.61865269,,dac2a,,,
2018,918,EU Institutions,201,"Grants, Total",,,573,Syrian Arab Republic,10011,MiddleEast,10018,LMICs,569.8082379,569.8082379,,dac2a,,,
2019,3,Denmark,528,Total ODA,140,Other Social Infrastructure,,,,,,,27.1878627,27.79501153,,dac5,,,
2019,61,Slovenia,528,Total ODA,200,Economic Infrastructure,,,,,,,3.487892719,3.500801318,,dac5,,,
2018,6,Italy,201,"Grants, Total",,,769,Viet Nam,10008,FarEastAsia,10018,LMICs,1.77618219,1.77618219,,dac2a,,,
2018,8,Norway,201,"Grants, Total",,,247,Côte d'Ivoire,10003,SouthSahara,10018,LMICs,0.377019115,0.377019115,,dac2a,,,
2018,8,Norway,201,"Grants, Total",,,543,Iraq,10011,MiddleEast,10019,UMICs,29.44531917,29.44531917,,dac2a,,,
2018,9,Portugal,201,"Grants, Total",,,63,Serbia,10010,Europe,10019,UMICs,0.033518234,0.033518234,,dac2a,,,
2019,20001,Total DAC Countries,201,"Grants, Total",,,428,Bolivia,10006,SouthAmerica,10018,LMICs,178.2288812,183.6472838,,dac2a,,,
2019,40,Greece,,,,,10010,Top 10 recipients,,,,,9.714115395,,,dac2a,,,
2019,4,France,201,"Grants, Total",,,274,Djibouti,10003,SouthSahara,10016,LDCs,42.75729568,44.42419498,,dac2a,,,
2019,8,Norway,201,"Grants, Total",,,287,Burkina Faso,10003,SouthSahara,10016,LDCs,5.923555657,6.44699919,,dac2a,,,
2019,12,United Kingdom,201,"Grants, Total",,,269,Senegal,10003,SouthSahara,10016,LDCs,3.065855519,3.13930933,,dac2a,,,
2018,1,Austria,201,"Grants, Total",,,274,Djibouti,10003,SouthSahara,10016,LDCs,0.010444943,0.010444943,,dac2a,,,
2018,4,France,201,"Grants, Total",,,666,Bangladesh,10009,SouthCentralAsia,10016,LDCs,7.474432811,7.474432811,,dac2a,,,
2018,5,Germany,201,"Grants, Total",,,383,Saint Lucia,10005,CaribbeanCentralAmerica,10019,UMICs,0.0194389,0.0194389,,dac2a,,,
2019,40,Greece,201,"Grants, Total",,,66,North Macedonia,10010,Europe,10019,UMICs,0.07510131,0.078562984,,dac2a,,,
2019,50,Spain,201,"Grants, Total",,,998,"Developing countries, unspecified",9998,DevCountriesUnspec,10024,UnallocatedIncome,313.0554398,324.9909671,,dac2a,,,
2019,301,Canada,201,"Grants, Total",,,218,South Africa,10003,SouthSahara,10019,UMICs,5.607545669,5.620996883,,dac2a,,,
2019,301,Canada,201,"Grants, Total",,,260,Niger,10003,SouthSahara,10016,LDCs,19.33697265,19.38335761,,dac2a,,,
2019,301,Canada,201,"Grants, Total",,,769,Viet Nam,10008,FarEastAsia,10018,LMICs,13.93755483,13.97098782,,dac2a,,,
2019,3,Denmark,201,"Grants, Total",,,358,Mexico,10005,CaribbeanCentralAmerica,10019,UMICs,0.343217327,0.357717238,,dac2a,,,
2018,918,EU Institutions,201,"Grants, Total",,,998,"Developing countries, unspecified",9998,DevCountriesUnspec,10024,UnallocatedIncome,2097.084421,2097.084421,,dac2a,,,
2018,50,Spain,201,"Grants, Total",,,437,Colombia,10006,SouthAmerica,10019,UMICs,45.72723418,45.72723418,,dac2a,,,
2018,50,Spain,201,"Grants, Total",,,625,Afghanistan,10009,SouthCentralAsia,10016,LDCs,1.150013401,1.150013401,,dac2a,,,
2018,301,Canada,201,"Grants, Total",,,266,Rwanda,10003,SouthSahara,10016,LDCs,8.336610001,8.336610001,,dac2a,,,
2018,301,Canada,201,"Grants, Total",,,274,Djibouti,10003,SouthSahara,10016,LDCs,1.242328912,1.242328912,,dac2a,,,
2019,18,Finland,201,"Grants, Total",,,227,Botswana,10003,SouthSahara,10019,UMICs,0.108854116,0.112424575,,dac2a,,,
2019,742,Korea,201,"Grants, Total",,,288,Zambia,10003,SouthSahara,10016,LDCs,1.58475,1.688856502,,dac2a,,,
2019,801,Australia,201,"Grants, Total",,,287,Burkina Faso,10003,SouthSahara,10016,LDCs,0.047304565,0.049243468,,dac2a,,,
2018,5,Germany,204,ODA Gross Loans,,,364,Nicaragua,10005,CaribbeanCentralAmerica,10018,LMICs,4.01142383,4.01142383,,dac2a,,,
2018,701,Japan,204,ODA Gross Loans,,,665,Pakistan,10009,SouthCentralAsia,10018,LMICs,56.81001753,56.81001753,,dac2a,,,
2019,5,Germany,204,ODA Gross Loans,,,289,"South of Sahara, regional",10003,SouthSahara,10024,UnallocatedIncome,58.07467965,60.07648086,,dac2a,,,
2018,918,EU Institutions,201,"Grants, Total",,,66,North Macedonia,10010,Europe,10019,UMICs,107.9680869,107.9680869,,dac2a,,,
2019,69,Slovak Republic,528,Total ODA,150,Other Social Infrastructure,,,,,,,5.754287,5.839040676,,dac5,,,
2018,11,Switzerland,201,"Grants, Total",,,745,Lao People's Democratic Republic,10008,FarEastAsia,10016,LDCs,22.70997648,22.70997648,,dac2a,,,
2018,12,United Kingdom,201,"Grants, Total",,,236,Benin,10003,SouthSahara,10016,LDCs,0.518506112,0.518506112,,dac2a,,,
2018,20001,Total DAC Countries,204,ODA Gross Loans,,,218,South Africa,10003,SouthSahara,10019,UMICs,127.0268241,127.0268241,,dac2a,,,
2019,20001,Total DAC Countries,204,ODA Gross Loans,,,589,"Middle East, regional",10011,MiddleEast,10024,UnallocatedIncome,39.86636867,41.20440133,,dac2a,,,
2019,3,Denmark,528,Total ODA,500,Programme assistance,,,,,,,40.57119798,41.54831721,,dac5,,,
